yyyymm,12M_forward,12M_Mom,9M_Mom,%_ch_D/P,5Y_val,,,,,,,,,,,,,,,,,
195612,-0.154472137,0.026165347,-0.037334983,-0.052207777,0.963399243,,,,,,,,,,,,,,,,,
195701,-0.0699197,0.020538567,-0.075651095,0.041625401,0.852526926,,,,,,,,,,,,,,,,,
195702,-0.057566427,-0.045875607,-0.042920354,0.031725614,0.859845228,,,,,,,,,,,,,,,,,
195703,-0.046638773,-0.090140264,-0.06088993,-0.021137202,0.81001231,,,,,,,,,,,,,,,,,
195704,-0.051592513,-0.054568003,-0.0739016,-0.035636205,0.961406518,,,,,,,,,,,,,,,,,
195705,-0.073021941,0.049336283,-0.001683856,-0.035631457,0.987845767,,,,,,,,,,,,,,,,,
195706,-0.046007466,0.008516074,0.044542448,0.001266624,0.897836538,,,,,,,,,,,,,,,,,
195707,-0.015142245,-0.02996558,0.051118912,-0.005555938,0.886220472,,,,,,,,,,,,,,,,,
195708,0.0544396,-0.048200379,0.00310559,0.065575958,0.806632042,,,,,,,,,,,,,,,,,
195709,0.165602337,-0.0646086,-0.091064924,0.072098067,0.728606357,,,,,,,,,,,,,,,,,
195710,0.223240965,-0.099166301,-0.081842576,0.038992273,0.674551387,,,,,,,,,,,,,,,,,
195711,0.229451515,-0.074534161,-0.035598706,-0.01025941,0.625876851,,,,,,,,,,,,,,,,,
195712,0.322514673,-0.143132633,-0.093402856,0.049121831,0.505080918,,,,,,,,,,,,,,,,,
195801,0.284439411,-0.067531306,-0.088325317,-0.04459672,0.580742987,,,,,,,,,,,,,,,,,
195802,0.30509809,-0.055940823,-0.138941598,0.017278848,0.576833977,,,,,,,,,,,,,,,,,
195803,0.275253614,-0.045567898,-0.111251847,-0.033586915,0.664689601,,,,,,,,,,,,,,,,,
195804,0.281968266,-0.050284215,-0.093299937,-0.03812948,0.764419171,,,,,,,,,,,,,,,,,
195805,0.285865954,-0.070419566,-0.024988943,-0.022258055,0.796658517,,,,,,,,,,,,,,,,,
195806,0.256532151,-0.044965168,0.066478076,-0.032855257,0.874067937,,,,,,,,,,,,,,,,,
195807,0.248626635,-0.015028178,0.149293717,-0.041322314,0.906666667,,,,,,,,,,,,,,,,,
195808,0.221676507,0.055948695,0.144534995,-0.011727749,1.047598628,,,,,,,,,,,,,,,,,
195809,0.127721499,0.180103725,0.251812953,-0.046144626,1.143897216,,,,,,,,,,,,,,,,,
195810,0.113857337,0.250121773,0.230935252,-0.020964855,1.091687042,,,,,,,,,,,,,,,,,
195811,0.104826837,0.257909875,0.285014691,-0.018196075,1.119547658,,,,,,,,,,,,,,,,,
